30,P0666,55.62,SOLARS
46,P0666,77.21,SOLARS
206,P0666,52.51,SOLARS
188,P0666,51.37,SOLARS
10018,P0666,76.86,SOLARS
217,P0666,54.76,SOLARS
10004,P0666,35.95,SOLARS
47,P0666,49.82,SOLARS
114,P0666,35.2,SOLARS
62,P0666,52.15,SOLARS
21,P0666,80.0,SOLARS
10045,P0666,0.0,SOLARS
10047,P0666,0.0,SOLARS
10038,P0666,37.91,SOLARS
24,P0666,46.13,SOLARS
10009,P0666,38.91,SOLARS
10037,P0666,36.71,SOLARS
10043,P0666,32.51,SOLARS
10025,P0666,9.94,SOLARS
159,P0666,12.97,SOLARS
60,P0666,37.96,SOLARS
245,P0666,31.45,SOLARS
10048,P0666,43.15,SOLARS
10024,P0666,38.87,SOLARS
149,P0276,7.1,SOLARS
10022,P0276,9.28,SOLARS
40,P0276,12.01,SOLARS
189,P0276,14.67,SOLARS
34,P0276,10.87,SOLARS
39,P0276,11.99,SOLARS
98,P0276,12.17,SOLARS
148,P0276,8.12,SOLARS
88,P0276,19.3,SOLARS
194,P0276,8.51,SOLARS
10002,P0276,0.0,SOLARS
33,P0276,12.05,SOLARS
38,P0276,17.96,SOLARS
242,P0276,24.36,SOLARS
131,P0276,7.6,SOLARS
112,P0276,10.65,SOLARS
205,P0276,17.82,SOLARS
137,P0276,10.57,SOLARS
10010,P0276,17.29,SOLARS
66,P0276,14.44,SOLARS
72,P0276,9.87,SOLARS
215,P0276,13.99,SOLARS
67,P0276,18.26,SOLARS
4,P0276,22.27,SOLARS
10013,P0276,3.16,SOLARS
10034,P0276,19.39,SOLARS
10040,P0276,42.82,SOLARS
153,P0276,19.66,SOLARS
146,P0276,17.25,SOLARS
230,P0276,8.66,SOLARS
10020,P0276,10.34,SOLARS
167,P0276,8.47,SOLARS
28,P0276,13.75,SOLARS
48,P0276,4.37,SOLARS
32,P0276,10.07,SOLARS
200,P0276,0.0,SOLARS
15,P0276,11.27,SOLARS
104,P0276,18.21,SOLARS
122,P0276,10.0,SOLARS
14,P0276,13.41,SOLARS
29,P0276,22.37,SOLARS
177,P0276,10.08,SOLARS
272,P0276,13.5,SOLARS
81,P0276,17.06,SOLARS
144,P0276,5.6,SOLARS
193,P0276,8.76,SOLARS
3,P0276,10.0,SOLARS
233,P0276,39.92,SOLARS
158,P0276,15.11,SOLARS
219,P0276,8.07,SOLARS
10027,P0276,13.88,SOLARS
162,P0276,9.47,SOLARS
231,P0276,9.91,SOLARS
161,P0276,10.12,SOLARS
83,P0276,20.72,SOLARS
169,P0276,20.35,SOLARS
221,P0276,19.86,SOLARS
212,P0276,13.59,SOLARS
10035,P0276,17.72,SOLARS
85,P0276,0.0,SOLARS
76,P0276,10.42,SOLARS
10029,P0276,18.15,SOLARS
37,P0276,1.08,SOLARS
61,P0276,0.0,SOLARS
35,P0276,15.75,SOLARS
184,P0276,18.58,SOLARS
241,P0276,16.53,SOLARS
30,P0276,28.47,SOLARS
46,P0276,16.92,SOLARS
206,P0276,0.0,SOLARS
188,P0276,0.0,SOLARS
10018,P0276,21.41,SOLARS
217,P0276,5.0,SOLARS
10004,P0276,0.0,SOLARS
47,P0276,0.0,SOLARS
114,P0276,0.0,SOLARS
62,P0276,22.95,SOLARS
21,P0276,0.0,SOLARS
10045,P0276,0.0,SOLARS
10047,P0276,0.0,SOLARS
10038,P0276,0.0,SOLARS
24,P0276,20.28,SOLARS
10009,P0276,13.72,SOLARS
10037,P0276,41.0,SOLARS
10043,P0276,24.88,SOLARS
10025,P0276,14.56,SOLARS
159,P0276,25.0,SOLARS
60,P0276,16.96,SOLARS
245,P0276,19.16,SOLARS
10048,P0276,9.21,SOLARS
10024,P0276,13.06,SOLARS
